ProductID,ProductName,Category,Location,Stock,RestockDate,UnitPrice
1001,Widget A,Gadgets,Warehouse 1,120,15-03-2026,19.99
1002,Widget B,Gadgets,Warehouse 2,80,18-03-2026,24.5
1003,Gizmo X,Electronics,Warehouse 1,45,20-03-2026,99
1004,Gizmo Y,Electronics,Warehouse 3,60,22-03-2026,89.5
1005,Tool Alpha,Tools,Warehouse 2,200,17-03-2026,12.75
1006,Tool Beta,Tools,Warehouse 1,150,19-03-2026,15
1007,Device Q,Devices,Warehouse 3,30,21-03-2026,199.99
1008,Device R,Devices,Warehouse 2,55,23-03-2026,179.5
1009,Widget C,Gadgets,Warehouse 1,95,16-03-2026,21
1010,Gizmo Z,Electronics,Warehouse 2,70,24-03-2026,105
1011,Widget D,Gadgets,Warehouse 3,110,25-03-2026,22.5
1012,Tool Gamma,Tools,Warehouse 1,180,26-03-2026,13.25
1013,Device S,Devices,Warehouse 2,40,27-03-2026,210
1014,Gizmo W,Electronics,Warehouse 3,65,28-03-2026,92
1015,Widget E,Gadgets,Warehouse 2,85,29-03-2026,23
1016,Tool Delta,Tools,Warehouse 3,170,30-03-2026,14
1017,Device T,Devices,Warehouse 1,35,31-03-2026,205
1018,Gizmo V,Electronics,Warehouse 2,75,01-04-2026,98
1019,Widget F,Gadgets,Warehouse 1,100,02-04-2026,20.5
1020,Tool Epsilon,Tools,Warehouse 2,160,03-04-2026,16
1021,Device U,Devices,Warehouse 3,50,04-04-2026,220
1022,Gizmo U,Electronics,Warehouse 1,55,05-04-2026,97
1023,Widget G,Gadgets,Warehouse 2,90,06-04-2026,24
1024,Tool Zeta,Tools,Warehouse 3,140,07-04-2026,15.5
1025,Device V,Devices,Warehouse 1,60,08-04-2026,215
1026,Gizmo T,Electronics,Warehouse 2,80,09-04-2026,100
1027,Widget H,Gadgets,Warehouse 3,105,10-04-2026,22
1028,Tool Eta,Tools,Warehouse 1,175,11-04-2026,13.75
1029,Device W,Devices,Warehouse 2,45,12-04-2026,225
1030,Gizmo S,Electronics,Warehouse 3,68,13-04-2026,93
